System Type,Initial Condition,Temperature,initial Sigma,Initial Delta,Initial Beta,Initial 50 Sigma Mean,Initial 50 Sigma Var,Initial 50 delta Mean,Initial 50 delta Var,Initial 50 b Mean,Initial 50 b Var,FInal Sigma,Final Delta,Final beta,Final 50 Sigma Mean,Final 50 Sigma Var,Final 50 delta Mean,Final 50 delta Var,Final 50 b Mean,Final 50 b Var
4-3,Env CTSE,0.001,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5220110079306632,0.0014642106249710064,0.21659331849551386,0.0073285940116810345,0.11237623591296364,0.12704525026564065,0.5545249999895356,0.3081832476965541,-0.4723648057362101,0.5181627414699727,0.0014404711120517557,0.20549398193005547,0.0015843400966924323,0.19106293393705717,0.1195122046229026
4-3,Env CTSE,0.001,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5220110079306632,0.0014642106249710064,0.21659331849551386,0.0073285940116810345,0.11237623591296364,0.12704525026564065,0.5545249999895356,0.3081832476965541,-0.4723648057362101,0.5181627414699727,0.0014404711120517557,0.20549398193005547,0.0015843400966924323,0.19106293393705717,0.1195122046229026
4-3,Env CTSE,0.001,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5220110079306632,0.0014642106249710064,0.21659331849551386,0.0073285940116810345,0.11237623591296364,0.12704525026564065,0.5545249999895356,0.3081832476965541,-0.4723648057362101,0.5181627414699727,0.0014404711120517557,0.20549398193005547,0.0015843400966924323,0.19106293393705717,0.1195122046229026
4-3,Env CTSE,0.01,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5221788837217132,0.0014629697892825817,0.216719856710758,0.0073552550699298915,0.11232499411497714,0.12732958519169002,0.5547150938806458,0.3087827694286546,-0.4734934175264522,0.5183356827691744,0.001439734526328839,0.2056038357838008,0.0015904175100124628,0.1910998973071652,0.11979352572985043
4-3,Env CTSE,0.01,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5223118059644305,0.0014619899710298656,0.21682007467398295,0.007376406365144922,0.11228445638391439,0.12755502758334844,0.554865634282174,0.3092585996689612,-0.4743875653100846,0.5184726162613387,0.0014391536019566983,0.20569085955105798,0.0015952485838573182,0.19112914146189272,0.1200165530884591
4-3,Env CTSE,0.01,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5224068991188231,0.0014612903279498381,0.2168918161527623,0.007391563763449932,0.1122554409740164,0.12771653383041662,0.5549733232149126,0.30959975660691985,-0.4750277205676497,0.5185705787404624,0.0014387388055497388,0.20575316773070193,0.0015987165352253502,0.19115003602664507,0.12017632115552149
4-3,Env CTSE,0.1,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.47519981744515394,0.0019385982210902261,0.1882651626100321,0.002725459622385179,0.12344142190948224,0.07170994324503331,0.49689376165228627,0.20505510737206983,-0.2109365570333648,0.47000547896514083,0.0016570248954586844,0.18121160526255403,0.0006922089876813317,0.18108670079056247,0.06485589326704509
4-3,Env CTSE,0.1,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.46429860348994323,0.0020974251382548147,0.17430862016516244,0.0008185506623301037,0.15236587747936736,0.04841081904670676,0.48832590617856025,0.18234787014619636,0.46718786730019446,0.4588154847940356,0.0017822651368998143,0.17172078747782632,0.00041348748692829215,0.1314998188522475,0.03873058080557636
4-3,Env CTSE,0.1,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.5357878399078359,0.0014211653170044896,0.23688212095163802,0.010466205008547256,0.09791933803138271,0.17153269043587915,0.5642377049527416,0.4265840209620844,-0.6537151375216762,0.5321092761492844,0.0013392621310331313,0.2248868493338284,0.0030640961250898674,0.1861997562949032,0.16935823547757692
4-3,Env CTSE,1.0,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.4068778071244429,0.004412224546384216,0.1658662362208297,0.0007823101041944713,0.13998733863541615,0.03452680044554454,0.39183913539010923,0.15549792108812344,0.2372185222966064,0.4001963698468046,0.003643591454801309,0.16302811779195922,0.0003922435199773524,0.17051518041853878,0.03246807331696183
4-3,Env CTSE,1.0,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.40394817827910545,0.004561710468916468,0.1639980117215952,0.0003079858755463563,0.13070450284434265,0.030271620053656488,0.3819993573911381,0.15571944276518154,0.29301786116052253,0.397791801428236,0.003657002797006649,0.15981874773195476,0.0003733918982046263,0.1353407207751583,0.02238149167925388
4-3,Env CTSE,1.0,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.4366143345467228,0.00404685167727523,0.17930724631170566,0.0010015781930519814,0.14590915150574765,0.05949655173441495,0.43394016571139027,0.20423396025073812,0.6371003756906344,0.4302654198193879,0.003130229834566776,0.17576672266232507,0.00044963943517915784,0.118532447658197,0.049250680795693516
4-3,Env CTSE,10.0,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.46892249115789153,0.0027114181724321126,0.19558307271307923,0.0031272589985478594,0.11199781740497314,0.0824171344125267,0.488315181914464,0.24410161616272227,-0.2949399607701526,0.4640689407366383,0.002115323607325483,0.18829118126269115,0.0010257255605950325,0.1773323655599917,0.08076897645933537
4-3,Env CTSE,10.0,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.43880926101545625,0.002781474739683044,0.16452537853084795,0.0004534574598409452,0.14032623804046468,0.032450243002367984,0.4563095946293335,0.15541235575402695,0.17544310894830312,0.43125727428561533,0.002416859473797912,0.16089199081200573,0.0003536690668082879,0.15419509873059742,0.02439331801109741
4-3,Env CTSE,10.0,0.6710530830761399,0.1794355225099177,0.42478696246735415,0.4098295268380015,0.00420277791095407,0.16493104876172948,0.0007046776495798088,0.13549688881156108,0.03560675854657373,0.4046128443015119,0.15384132520694396,0.10919683888748853,0.40275735188313194,0.0033246661840086802,0.16207824980779498,0.00036387002093559654,0.1664064152004404,0.030989589793909617
