System Type,Initial Condition,Temperature,initial Sigma,Initial Delta,Initial Beta,Initial 50 Sigma Mean,Initial 50 Sigma Var,Initial 50 delta Mean,Initial 50 delta Var,Initial 50 b Mean,Initial 50 b Var,FInal Sigma,Final Delta,Final beta,Final 50 Sigma Mean,Final 50 Sigma Var,Final 50 delta Mean,Final 50 delta Var,Final 50 b Mean,Final 50 b Var
4-3,Env CTSE,0.001,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.49973294413932523,0.0017005938431970526,0.2330861530312666,0.002775732240952936,-0.42089496689407224,0.0578423477412134,0.5300515294920064,0.19677052231372524,-0.29810313275000083,0.4950453950688521,0.0015443261777400288,0.23168913874781558,0.003397988696050936,-0.41446776992282147,0.0652522368823283
4-3,Env CTSE,0.001,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.49973294413932523,0.0017005938431970526,0.2330861530312666,0.002775732240952936,-0.42089496689407224,0.0578423477412134,0.5300515294920064,0.19677052231372524,-0.29810313275000083,0.4950453950688521,0.0015443261777400288,0.23168913874781558,0.003397988696050936,-0.41446776992282147,0.0652522368823283
4-3,Env CTSE,0.001,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.49973294413932523,0.0017005938431970526,0.2330861530312666,0.002775732240952936,-0.42089496689407224,0.0578423477412134,0.5300515294920064,0.19677052231372524,-0.29810313275000083,0.4950453950688521,0.0015443261777400288,0.23168913874781558,0.003397988696050936,-0.41446776992282147,0.0652522368823283
4-3,Env CTSE,0.01,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.49888749421981554,0.0017090473786062694,0.23277593626935836,0.002771669978472466,-0.4198041737232341,0.0578381936841147,0.529080043978478,0.1963537118499336,-0.29597394838124247,0.49417463977320086,0.00154950921525107,0.23134243722653,0.0033893699235028724,-0.4131816490091454,0.06518644800802928
4-3,Env CTSE,0.01,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.4984773146320512,0.0017131838147529963,0.2326252427231303,0.002769722215142103,-0.41927325784427744,0.05783695151089493,0.5286086994195529,0.19615123143546637,-0.2949366589968602,0.4937521785668228,0.0015520501738842964,0.2311740835749578,0.003385216608192112,-0.412555920498768,0.06515545091981957
4-3,Env CTSE,0.01,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.5005122599739708,0.001692887724587425,0.2333716595862263,0.0027795339776807808,-0.4218963594110093,0.05784806649997319,0.5309469797676841,0.19715410741283643,-0.3000554500403033,0.49584802599699096,0.0015396131419433967,0.23200837973162214,0.0034060038082927777,-0.41564911728800846,0.065315142146845
4-3,Env CTSE,0.1,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.485258953100404,0.0019217850843288129,0.19757819379320174,0.0022918489677950186,-0.192665998004043,0.08590734093854453,0.5072457035156732,0.16578867284131715,0.17189692136238774,0.47987838076764067,0.001657157560021845,0.19204758766735397,0.0018496960305754082,-0.1461219723397265,0.0829138027492464
4-3,Env CTSE,0.1,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.44708819487410634,0.0025793970208735635,0.1976296389235288,0.0023480409726219613,-0.23985667001563868,0.06866730920807904,0.4589745360755072,0.16236520583378433,0.040553515288066146,0.4406565993025797,0.0020534458480739363,0.1916678563331548,0.0019359998033898686,-0.19862009322920401,0.06528437283584324
4-3,Env CTSE,0.1,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.5461987547644909,0.0015824046155609314,0.24802444884053806,0.0027300279081858537,-0.4633597248489069,0.05110736984443482,0.5777076160769488,0.2294546010904599,-0.4495337920234642,0.5423350071693853,0.0014439478661698148,0.24708277027817344,0.003126904938525313,-0.4593116463056025,0.058255794404471456
4-3,Env CTSE,1.0,0.671246552352588,0.4196416201704129,-1.1790857500537735,0.4372885317661811,0.0039848135596574925,0.2164516625291226,0.0022262679184832704,-0.3634096850974214,0.03957740568613779,0.41331733857611275,0.22241888143960858,-0.4330671359673459,0.4325011987102406,0.0031988148523502164,0.21224368385985282,0.0017595721092908702,-0.3424484019138262,0.03505319424107856
