System Type,Initial Condition,Temperature,initial Sigma,Initial Delta,Initial Beta,Initial 50 Sigma Mean,Initial 50 Sigma Var,Initial 50 delta Mean,Initial 50 delta Var,Initial 50 b Mean,Initial 50 b Var,FInal Sigma,Final Delta,Final beta,Final 50 Sigma Mean,Final 50 Sigma Var,Final 50 delta Mean,Final 50 delta Var,Final 50 b Mean,Final 50 b Var
4-3,Equal Superposition,NA,0.13290305997926619,1.227740021200697,-33182.76880783341,0.13290305997926619,0.0,1.227740021200697,0.0,-33182.76845139915,1.5474382584662187e-7,0.13290305997926619,1.227740021200697,-33182.769888645715,0.13290305997926619,0.0,1.227740021200697,0.0,-33182.76850984835,5.846728760898947e-7
4-3,All zeros,NA,0.26119822418711564,0.12477500457131567,-0.2716105364085356,0.24998587659773003,4.7271286200209096e-5,0.12477500457131567,0.0,-0.2716105364085356,0.0,0.2430014049002708,0.12477500457131567,-0.2716105364085356,0.2586627047419737,8.57714068483501e-5,0.12477500457131567,0.0,-0.2716105364085356,0.0
4-3,Random 1,NA,0.19332642986933352,0.5395835564295413,-0.3631168774015919,0.19082630661369263,1.4038597329256171e-6,0.5395835564295414,1.0288903783812491e-34,-0.3631168774015919,0.0,0.1957902221401772,0.5395835564295414,-0.3631168774015919,0.19528150449526102,6.3546503519028095e-6,0.5395835564295414,0.0,-0.3631168774015919,0.0
4-3,Full CTSE,0.001,2.0929145637601113e-5,6.194667467009163e-10,408.2423653314072,2.0929145637601113e-5,0.0,6.194667467009163e-10,0.0,408.2423653314072,0.0,2.0929145637601113e-5,6.194667467009163e-10,408.2423653314072,2.0929145637601113e-5,0.0,6.194667467009163e-10,0.0,408.2423653314072,0.0
4-3,Full CTSE,0.001,8.13484983505548e-6,9.358668818341179e-11,409.0231197341593,8.13484983505548e-6,0.0,9.358668818341179e-11,0.0,409.0231197341593,0.0,8.13484983505548e-6,9.358668818341179e-11,409.0231197341593,8.13484983505548e-6,0.0,9.358668818341179e-11,0.0,409.0231197341593,0.0
4-3,Full CTSE,0.001,2.3490998827315776e-6,7.804012641230977e-12,410.46548876936254,2.3490998827315776e-6,0.0,7.804012641230977e-12,0.0,410.46548876936254,0.0,2.3490998827315776e-6,7.804012641230977e-12,410.46548876936254,2.3490998827315776e-6,0.0,7.804012641230977e-12,0.0,410.46548876936254,0.0
4-3,Full CTSE,0.01,0.4149104951362981,1.1016248678791016,40.11573796179111,0.4149104951362981,4.867473610045537e-115,1.1016248678791016,0.0,40.11573796179111,0.0,0.4149104951362981,1.1016248678791016,40.11573796179111,0.4149104951362981,5.003221562610131e-115,1.1016248678791016,0.0,40.11573796179111,0.0
4-3,Full CTSE,0.01,0.4991676652855506,0.6662690402430099,41.26064322254873,0.4991676652855506,1.1561164512890652e-115,0.6662690402430099,0.0,41.26064322254873,0.0,0.4991676652855506,0.6662690402430099,41.26064322254873,0.4991676652855506,1.185943092438549e-115,0.6662690402430099,0.0,41.26064322254873,0.0
4-3,Full CTSE,0.01,0.0978089557583014,0.01361677657661912,41.9109870571358,0.0978089557583014,5.2948695171375525e-117,0.01361677657661912,0.0,41.9109870571358,0.0,0.0978089557583014,0.01361677657661912,41.9109870571358,0.0978089557583014,5.2518637300274586e-117,0.01361677657661912,0.0,41.9109870571358,0.0
4-3,Full CTSE,0.1,0.5004773732718842,0.5870033320017073,2.9301748565673646,0.5004774395348695,9.563671344597296e-14,0.5870033320017073,0.0,2.9301748565673646,0.0,0.5004775578065233,0.5870033320017073,2.9301748565673646,0.5004774909752219,4.340557091630071e-14,0.5870033320017073,0.0,2.9301748565673646,0.0
